covariate_analysis_id,covariate_analysis_name,analysis_id
804,ObservationShortTerm,1
204,ConditionEraShortTerm,1
410,DrugGroupEraLongTerm,1
412,DrugGroupEraShortTerm,1
7,DemographicsIndexMonth,1
502,ProcedureOccurrenceLongTerm,1
710,MeasurementRangeGroupLongTerm,1
404,DrugEraShortTerm,1
5,DemographicsEthnicity,1
3,DemographicsAgeGroup,1
402,DrugEraLongTerm,1
212,ConditionGroupEraShortTerm,1
4,DemographicsRace,1
704,MeasurementShortTerm,1
202,ConditionEraLongTerm,1
1,DemographicsGender,1
802,ObservationLongTerm,1
413,DrugGroupEraOverlapping,1
504,ProcedureOccurrenceShortTerm,1
602,DeviceExposureLongTerm,1
702,MeasurementLongTerm,1
6,DemographicsIndexYear,1
210,ConditionGroupEraLongTerm,1
604,DeviceExposureShortTerm,1
804,ObservationShortTerm,2
204,ConditionEraShortTerm,2
410,DrugGroupEraLongTerm,2
412,DrugGroupEraShortTerm,2
7,DemographicsIndexMonth,2
502,ProcedureOccurrenceLongTerm,2
710,MeasurementRangeGroupLongTerm,2
404,DrugEraShortTerm,2
5,DemographicsEthnicity,2
3,DemographicsAgeGroup,2
402,DrugEraLongTerm,2
212,ConditionGroupEraShortTerm,2
4,DemographicsRace,2
704,MeasurementShortTerm,2
202,ConditionEraLongTerm,2
1,DemographicsGender,2
802,ObservationLongTerm,2
413,DrugGroupEraOverlapping,2
504,ProcedureOccurrenceShortTerm,2
602,DeviceExposureLongTerm,2
702,MeasurementLongTerm,2
6,DemographicsIndexYear,2
210,ConditionGroupEraLongTerm,2
604,DeviceExposureShortTerm,2
804,ObservationShortTerm,3
204,ConditionEraShortTerm,3
410,DrugGroupEraLongTerm,3
412,DrugGroupEraShortTerm,3
7,DemographicsIndexMonth,3
502,ProcedureOccurrenceLongTerm,3
710,MeasurementRangeGroupLongTerm,3
404,DrugEraShortTerm,3
5,DemographicsEthnicity,3
3,DemographicsAgeGroup,3
402,DrugEraLongTerm,3
212,ConditionGroupEraShortTerm,3
4,DemographicsRace,3
704,MeasurementShortTerm,3
202,ConditionEraLongTerm,3
1,DemographicsGender,3
802,ObservationLongTerm,3
413,DrugGroupEraOverlapping,3
504,ProcedureOccurrenceShortTerm,3
602,DeviceExposureLongTerm,3
702,MeasurementLongTerm,3
6,DemographicsIndexYear,3
210,ConditionGroupEraLongTerm,3
604,DeviceExposureShortTerm,3
804,ObservationShortTerm,4
204,ConditionEraShortTerm,4
410,DrugGroupEraLongTerm,4
412,DrugGroupEraShortTerm,4
7,DemographicsIndexMonth,4
502,ProcedureOccurrenceLongTerm,4
710,MeasurementRangeGroupLongTerm,4
404,DrugEraShortTerm,4
5,DemographicsEthnicity,4
3,DemographicsAgeGroup,4
402,DrugEraLongTerm,4
212,ConditionGroupEraShortTerm,4
4,DemographicsRace,4
704,MeasurementShortTerm,4
202,ConditionEraLongTerm,4
1,DemographicsGender,4
802,ObservationLongTerm,4
413,DrugGroupEraOverlapping,4
504,ProcedureOccurrenceShortTerm,4
602,DeviceExposureLongTerm,4
702,MeasurementLongTerm,4
6,DemographicsIndexYear,4
210,ConditionGroupEraLongTerm,4
604,DeviceExposureShortTerm,4
804,ObservationShortTerm,5
204,ConditionEraShortTerm,5
410,DrugGroupEraLongTerm,5
412,DrugGroupEraShortTerm,5
7,DemographicsIndexMonth,5
502,ProcedureOccurrenceLongTerm,5
710,MeasurementRangeGroupLongTerm,5
404,DrugEraShortTerm,5
5,DemographicsEthnicity,5
3,DemographicsAgeGroup,5
402,DrugEraLongTerm,5
212,ConditionGroupEraShortTerm,5
4,DemographicsRace,5
704,MeasurementShortTerm,5
202,ConditionEraLongTerm,5
1,DemographicsGender,5
802,ObservationLongTerm,5
413,DrugGroupEraOverlapping,5
504,ProcedureOccurrenceShortTerm,5
602,DeviceExposureLongTerm,5
702,MeasurementLongTerm,5
6,DemographicsIndexYear,5
210,ConditionGroupEraLongTerm,5
604,DeviceExposureShortTerm,5
804,ObservationShortTerm,6
204,ConditionEraShortTerm,6
410,DrugGroupEraLongTerm,6
412,DrugGroupEraShortTerm,6
7,DemographicsIndexMonth,6
502,ProcedureOccurrenceLongTerm,6
710,MeasurementRangeGroupLongTerm,6
404,DrugEraShortTerm,6
5,DemographicsEthnicity,6
3,DemographicsAgeGroup,6
402,DrugEraLongTerm,6
212,ConditionGroupEraShortTerm,6
4,DemographicsRace,6
704,MeasurementShortTerm,6
202,ConditionEraLongTerm,6
1,DemographicsGender,6
802,ObservationLongTerm,6
413,DrugGroupEraOverlapping,6
504,ProcedureOccurrenceShortTerm,6
602,DeviceExposureLongTerm,6
702,MeasurementLongTerm,6
6,DemographicsIndexYear,6
210,ConditionGroupEraLongTerm,6
604,DeviceExposureShortTerm,6
804,ObservationShortTerm,7
204,ConditionEraShortTerm,7
410,DrugGroupEraLongTerm,7
412,DrugGroupEraShortTerm,7
7,DemographicsIndexMonth,7
502,ProcedureOccurrenceLongTerm,7
710,MeasurementRangeGroupLongTerm,7
404,DrugEraShortTerm,7
5,DemographicsEthnicity,7
3,DemographicsAgeGroup,7
402,DrugEraLongTerm,7
212,ConditionGroupEraShortTerm,7
4,DemographicsRace,7
704,MeasurementShortTerm,7
202,ConditionEraLongTerm,7
1,DemographicsGender,7
802,ObservationLongTerm,7
413,DrugGroupEraOverlapping,7
504,ProcedureOccurrenceShortTerm,7
602,DeviceExposureLongTerm,7
702,MeasurementLongTerm,7
6,DemographicsIndexYear,7
210,ConditionGroupEraLongTerm,7
604,DeviceExposureShortTerm,7
804,ObservationShortTerm,8
204,ConditionEraShortTerm,8
410,DrugGroupEraLongTerm,8
412,DrugGroupEraShortTerm,8
7,DemographicsIndexMonth,8
502,ProcedureOccurrenceLongTerm,8
710,MeasurementRangeGroupLongTerm,8
404,DrugEraShortTerm,8
5,DemographicsEthnicity,8
3,DemographicsAgeGroup,8
402,DrugEraLongTerm,8
212,ConditionGroupEraShortTerm,8
4,DemographicsRace,8
704,MeasurementShortTerm,8
202,ConditionEraLongTerm,8
1,DemographicsGender,8
802,ObservationLongTerm,8
413,DrugGroupEraOverlapping,8
504,ProcedureOccurrenceShortTerm,8
602,DeviceExposureLongTerm,8
702,MeasurementLongTerm,8
6,DemographicsIndexYear,8
210,ConditionGroupEraLongTerm,8
604,DeviceExposureShortTerm,8
